%% ----------- Irrigation schedule time-series for AquaCropOS ---------- %%
Day     Month     Year      Irrigation(mm)
23      05        2016      3
24      05        2016      2
26      05        2016      3
27      05        2016      4
28      05        2016      7
04      06        2016      1
06      06        2016      4
15      06        2016      7
19      06        2016      10
21		06		  2016		13
24		06		  2016		13
26		06		  2016		9
29		06		  2016		16
01		07		  2016		16
03		07		  2016		16
07		07		  2016		15
10		07		  2016		17
13		07		  2016		26
19		07		  2016		20
22		07		  2016		22
27		07		  2016		23
31		07		  2016		26
