Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	4	2016	15.68027288	29.23072676	0.160909091	5.163636364
2	4	2016	15.88918235	28.47699807	0.07	4.981818182
3	4	2016	15.82645208	29.15872747	0.109090909	5.2
4	4	2016	16.26882102	29.13454645	0.114545455	5.172727273
5	4	2016	16.84718461	30.60954424	0.645454545	5.472727273
6	4	2016	17.46381725	32.1516363	0.17	5.8
7	4	2016	18.56036377	33.70745295	1.305454545	6.072727273
8	4	2016	19.62999933	35.24972534	1.829090909	6.272727273
9	4	2016	17.62063599	29.42854725	0.068181818	5.136363636
10	4	2016	16.20508922	28.2891818	0.125454545	5.036363636
11	4	2016	16.08936379	28.34981745	0.477272727	5.109090909
12	4	2016	16.62218406	29.14645663	0.672727273	5.281818182
13	4	2016	17.24972812	29.53572776	2.302727273	5.290909091
14	4	2016	16.73627264	30.21309038	0.158181818	5.536363636
15	4	2016	18.17491289	31.6219094	0.002727273	5.727272727
16	4	2016	18.35563521	30.53345281	0.041818182	5.436363636
17	4	2016	18.53490656	31.54309082	0.290909091	5.681818182
18	4	2016	18.8514543	31.55326982	0.030909091	5.654545455
19	4	2016	17.57127242	29.35808771	0.034545455	5.263636364
20	4	2016	17.30627441	29.75517689	0.05	5.445454545
21	4	2016	17.43336348	29.28863525	0.798181818	5.318181818
22	4	2016	17.1641818	29.87508878	0.034545455	5.509090909
23	4	2016	16.39418446	29.46800093	0.007272727	5.527272727
24	4	2016	17.10845392	31.15063477	0.026363636	5.927272727
25	4	2016	17.07663519	30.93263661	0.032727273	5.836363636
26	4	2016	17.42418046	32.1888178	0.031818182	6.145454545
27	4	2016	18.08663663	31.65663841	0.042727273	5.9
28	4	2016	18.32754239	31.8616333	0.133636364	5.918181818
29	4	2016	18.61736228	32.46645563	0.342727273	6.090909091
30	4	2016	18.27245539	31.82309237	0.833636364	5.954545455
1	5	2016	18.25881958	32.60790461	1.15	6.2
2	5	2016	18.83036388	33.00772927	0.015454545	6.254545455
3	5	2016	19.22572465	33.84254317	0.198181818	6.436363636
4	5	2016	20.97436523	34.36554787	0.149090909	6.3
5	5	2016	20.72700084	35.30563632	0.208181818	6.627272727
6	5	2016	20.2648149	33.93672319	0.036363636	6.345454545
7	5	2016	20.52554599	32.98690796	0.503636364	6.036363636
8	5	2016	20.36472945	33.55672386	0.018181818	6.263636364
9	5	2016	19.91372958	33.025091	0.115454545	6.172727273
10	5	2016	19.6668174	32.76327515	0.085454545	6.145454545
11	5	2016	19.84309526	32.75072965	0.069090909	6.109090909
12	5	2016	20.38627208	33.15754839	2.737272727	6.163636364
13	5	2016	20.64381547	33.66254494	0.067272727	6.290909091
14	5	2016	20.8890908	33.01572765	0.086363636	6.063636364
15	5	2016	20.9119124	34.34327282	0.068181818	6.445454545
16	5	2016	21.0510032	34.57827204	0.238181818	6.490909091
17	5	2016	20.66718362	35.0808161	0.000909091	6.718181818
18	5	2016	20.28718151	34.41882047	0.003636364	6.590909091
19	5	2016	20.83945257	35.55408825	0.002727273	6.863636364
20	5	2016	21.29000022	35.06254716	0.358181818	6.645454545
21	5	2016	21.25954645	34.24981412	0.003636364	6.4
22	5	2016	21.01663763	35.09172752	1.511818182	6.718181818
23	5	2016	21.03500089	34.3954551	0.168181818	6.5
24	5	2016	20.58317982	35.3789978	0.176363636	6.872727273
25	5	2016	21.27636441	35.90409157	1.199090909	6.927272727
26	5	2016	21.6037237	35.43627375	1.789090909	6.718181818
27	5	2016	22.54408958	36.27236384	0.090909091	6.845454545
28	5	2016	21.41354647	34.95400169	0.024545455	6.627272727
29	5	2016	21.49372448	35.11082042	0.013636364	6.681818182
30	5	2016	22.46754317	35.92373102	0.042727273	6.772727273
31	5	2016	22.0094549	35.61754539	0.039090909	6.763636364
1	6	2016	22.15218284	35.20309171	0	6.618181818
2	6	2016	21.64709195	35.56345437	0.003636364	6.790909091
3	6	2016	22.34645219	35.71418346	0	6.745454545
4	6	2016	22.52463323	36.35181774	0.001818182	6.927272727
5	6	2016	21.68845159	34.98227206	0.002727273	6.618181818
6	6	2016	21.44736273	35.58054421	0.084545455	6.854545455
7	6	2016	22.89281672	37.07500111	0.063636364	7.063636364
8	6	2016	23.11936534	37.26881825	0.075454545	7.090909091
9	6	2016	22.10772705	35.83890603	0.017272727	6.818181818
10	6	2016	22.93190973	36.36963723	0.096363636	6.872727273
11	6	2016	22.60927235	35.92527355	0	6.772727273
12	6	2016	23.00099876	35.91127153	0.002727273	6.690909091
13	6	2016	22.12718062	35.33317982	0.031818182	6.690909091
14	6	2016	22.8625516	35.95418202	0.009090909	6.745454545
15	6	2016	22.41300271	35.44163652	0	6.663636364
16	6	2016	22.45945601	35.38281805	0	6.609090909
17	6	2016	22.47927024	35.58881448	0	6.681818182
18	6	2016	22.9222745	36.27317949	0	6.827272727
19	6	2016	23.55781971	36.10900047	0	6.663636364
20	6	2016	23.16736672	36.11908791	0	6.745454545
21	6	2016	23.45008989	36.27145108	0	6.727272727
22	6	2016	23.36927379	36.23445546	0	6.745454545
23	6	2016	23.16854304	36.38345614	0	6.827272727
24	6	2016	22.98136486	35.97118586	0	6.727272727
25	6	2016	22.91572987	36.20190985	0	6.809090909
26	6	2016	23.02081854	36.74000133	0.000909091	6.954545455
27	6	2016	23.60154308	36.35981889	0.001818182	6.718181818
28	6	2016	23.05399947	35.80482067	0.001818182	6.654545455
29	6	2016	22.78372747	35.27709406	0.015454545	6.527272727
30	6	2016	22.724909	34.69300149	0	6.354545455
1	7	2016	22.73600075	34.33918069	0.011818182	6.236363636
2	7	2016	22.54927202	34.80618009	0	6.436363636
3	7	2016	22.65390847	34.76327515	0.001818182	6.363636364
4	7	2016	22.57381647	34.96745162	0	6.454545455
5	7	2016	22.67863603	35.06372625	0	6.454545455
6	7	2016	22.58054699	34.77272727	0	6.390909091
7	7	2016	22.80781694	35.09272905	0	6.436363636
8	7	2016	22.88718206	35.42163918	0	6.527272727
9	7	2016	23.27963534	35.89872603	0	6.618181818
10	7	2016	23.31163719	36.62990501	0	6.827272727
11	7	2016	23.56481934	36.45127453	0	6.718181818
12	7	2016	23.95363825	36.76581643	0	6.709090909
13	7	2016	23.73518233	36.91118275	0	6.809090909
14	7	2016	24.03463468	35.98554577	0	6.454545455
15	7	2016	23.19027433	35.55591098	0	6.472727273
16	7	2016	22.53690962	35.26809138	0	6.518181818
17	7	2016	22.93617942	34.91999956	0	6.309090909
18	7	2016	23.31245561	34.92336481	0	6.236363636
19	7	2016	22.95582164	35.19109275	0	6.354545455
20	7	2016	22.85399836	35.2893649	0	6.418181818
21	7	2016	23.23627541	35.24899847	0.129090909	6.318181818
22	7	2016	22.9819114	35.02227228	0	6.290909091
23	7	2016	22.93490601	34.98872514	0	6.281818182
24	7	2016	23.1265453	35.09381936	0	6.281818182
25	7	2016	22.80127231	34.5966353	0.326363636	6.190909091
26	7	2016	22.34063998	34.08018078	0.001818182	6.090909091
27	7	2016	22.06245284	34.0589988	0	6.127272727
28	7	2016	22.51272583	33.73790949	0	5.936363636
29	7	2016	22.18509189	33.99736439	0	6.081818182
30	7	2016	22.55854381	34.29172863	0	6.090909091
31	7	2016	22.46972934	33.97991111	0	6
1	8	2016	22.46854747	34.60000333	0	6.181818182
2	8	2016	23.05518133	34.58691129	0	6.054545455
3	8	2016	22.86100075	34.54000022	0	6.045454545
4	8	2016	22.84745095	34.4639088	0	6.018181818
5	8	2016	23.2405451	35.1272694	0.05	6.163636364
6	8	2016	23.25381747	35.56863681	0.12	6.272727273
7	8	2016	23.28708718	35.35581554	0.207272727	6.172727273
8	8	2016	23.11454357	34.64681729	0.021818182	6
9	8	2016	23.1265453	34.72627397	0	5.990909091
10	8	2016	23.00709118	34.96490756	0	6.1
11	8	2016	23.26936479	34.9874545	0	6.036363636
12	8	2016	23.11909069	34.78054532	0	5.963636364
13	8	2016	23.27045233	34.2962702	0	5.781818182
14	8	2016	22.54590953	33.77636719	0	5.754545455
15	8	2016	22.38081776	33.10491111	0	5.563636364
16	8	2016	22.42317893	33.52963534	0	5.709090909
17	8	2016	22.01318359	32.84554776	0	5.554545455
18	8	2016	21.8607261	32.67136452	0	5.518181818
19	8	2016	21.83309382	32.20918135	0	5.354545455
20	8	2016	22.08381791	33.2517284	0	5.590909091
21	8	2016	22.31736617	33.65500155	0	5.663636364
22	8	2016	22.28918179	33.69590898	0	5.663636364
23	8	2016	22.45536388	33.45409046	0	5.563636364
24	8	2016	22.23563732	32.6155451	0	5.336363636
25	8	2016	21.58327692	32.91154619	0.110909091	5.527272727
26	8	2016	20.57027643	31.74545288	0.030909091	5.327272727
27	8	2016	20.4969094	31.81881991	0.007272727	5.363636364
28	8	2016	20.68691184	31.75854492	0.029090909	5.272727273
29	8	2016	21.04327393	32.21727129	0	5.363636364
30	8	2016	20.92408891	32.30427135	0	5.390909091
31	8	2016	20.85672552	32.08399825	0	5.309090909
1	9	2016	20.81499689	31.5660012	0	5.154545455
2	9	2016	20.75072576	31.67445401	0	4.863636364
