Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	2045	10.62900086	21.90140686	0	3.37
2	1	2045	9.778598023	21.78980102	0	3.43
3	1	2045	9.871502684	22.07379761	0	3.5
4	1	2045	9.91209717	22.36250305	0	3.53
5	1	2045	9.020996094	21.80570679	0	3.5
6	1	2045	9.105300903	20.71000061	0	3.33
7	1	2045	8.888796997	20.21659851	0	3.31
8	1	2045	8.180606079	19.84480286	0	3.3
9	1	2045	8.57739563	21.3901001	0	3.49
10	1	2045	8.958901977	22.43299561	0	3.63
11	1	2045	9.940203858	24.3105011	0	3.88
12	1	2045	10.46419678	24.33190003	0	3.83
13	1	2045	11.18960266	23.78769531	0	3.71
14	1	2045	11.5553009	23.22680054	0	3.6
15	1	2045	10.93769836	22.53450317	0	3.56
16	1	2045	9.903305054	23.10639954	0	3.75
17	1	2045	10.42020569	24.32430115	0	3.9
18	1	2045	10.88760071	25.99749756	0	4.13
19	1	2045	10.82700195	26.98669739	0	4.32
20	1	2045	11.07749634	25.08699951	0	4.03
21	1	2045	10.89370117	24.01529846	0	3.85
22	1	2045	9.767999267	23.46130066	0	3.86
23	1	2045	10.76159973	24.45049744	0	3.94
24	1	2045	12.04209595	24.87660217	0	3.95
25	1	2045	12.6678009	27.21569824	0	4.32
26	1	2045	11.99959717	25.0631012	0	3.98
27	1	2045	12.01139526	25.73339234	0	4.13
28	1	2045	11.70110169	23.33110352	0	3.74
29	1	2045	10.93920288	21.4190979	0	3.53
30	1	2045	9.790298463	22.60980225	0	3.84
31	1	2045	10.61020508	25.01419983	0	4.2
1	2	2045	10.67019958	22.64729919	0	3.78
2	2	2045	10.25630188	23.65479737	0	4.01
3	2	2045	9.788000488	23.432901	0	4.02
4	2	2045	10.11320191	25.15170288	0	4.31
5	2	2045	11.50439453	25.2315033	0	4.24
6	2	2045	12.11550293	25.79060669	0	4.29
7	2	2045	11.78700256	24.62050171	0	4.13
8	2	2045	11.45599976	24.54379883	0	4.17
9	2	2045	11.470401	24.78790588	0	4.23
10	2	2045	11.15789795	23.40500183	0	4.03
11	2	2045	10.75069885	24.71629639	0	4.31
12	2	2045	11.98510437	27.77360535	0	4.78
13	2	2045	12.47929993	27.09069824	0	4.61
14	2	2045	13.23189697	28.46079712	0	4.84
15	2	2045	13.77580261	29.6809967	0	5.06
16	2	2045	13.67980042	29.05629883	0	4.96
17	2	2045	14.35469971	30.28850403	0	5.16
18	2	2045	13.13330078	27.95040588	0	4.85
19	2	2045	13.50379639	28.13870239	0	4.89
20	2	2045	12.76130066	25.22099915	0	4.38
21	2	2045	12.21839905	24.92479858	0	4.39
22	2	2045	12.69779968	26.20829773	0	4.64
23	2	2045	11.8053009	25.81380005	0	4.64
24	2	2045	12.94190063	26.8222992	0	4.77
25	2	2045	12.29110413	24.58949585	0	4.41
26	2	2045	11.67269897	25.94679565	0	4.76
27	2	2045	12.17759705	27.66570129	0	5.05
28	2	2045	12.98559876	29.40750427	0	5.34
1	3	2045	13.53400269	29.38390198	0	5.31
2	3	2045	13.64420166	29.73190003	0	5.4
3	3	2045	14.89779663	30.53510132	0	5.48
4	3	2045	15.94859924	33.2526062	0	6
5	3	2045	17.25720215	33.22919922	0	5.88
6	3	2045	17.89440002	32.82950134	0	5.72
7	3	2045	17.26990051	30.6697052	0	5.36
8	3	2045	16.64550171	31.58479919	0	5.68
9	3	2045	15.11920166	28.55760498	0	5.17
10	3	2045	14.41239319	28.28789673	0	5.2
11	3	2045	15.10669556	30.90849915	0	5.71
12	3	2045	15.4019989	30.24809265	0	5.59
13	3	2045	15.07780151	29.12040405	0	5.4
14	3	2045	15.08329773	29.89389954	0	5.59
15	3	2045	16.37209473	31.53520203	0	5.85
16	3	2045	16.217099	31.57049561	0	5.86
17	3	2045	16.37570496	32.53970337	0	6.1
18	3	2045	17.27650147	34.39779663	0	6.49
19	3	2045	17.76370239	33.19049683	0	6.17
20	3	2045	15.56789856	28.01290283	0	5.23
21	3	2045	15.00960388	28.74770203	0	5.49
22	3	2045	14.97399902	28.54949951	0	5.46
23	3	2045	14.951297	29.64369812	0	5.73
24	3	2045	15.61089783	31.64760132	0	6.16
25	3	2045	16.13040466	31.18360291	0	5.98
26	3	2045	16.30660095	31.04849854	0	5.98
27	3	2045	16.91270447	31.68310242	0	6.09
28	3	2045	18.45090027	33.37209778	0	6.35
29	3	2045	18.09510193	31.09240112	0	5.8
30	3	2045	17.14299927	30.89579773	0	5.89
31	3	2045	17.33999939	31.61010132	0	6.08
1	4	2045	17.23509827	32.09420471	0	6.23
2	4	2045	17.242099	32.07420349	0	6.25
3	4	2045	16.8809021	31.53169861	0	6.16
4	4	2045	17.32410278	33.52049866	0	6.66
5	4	2045	18.11239929	34.85099487	0	6.9
6	4	2045	19.56619873	34.99930115	0	6.78
7	4	2045	18.94860535	34.73640137	0	6.84
8	4	2045	19.11589966	35.2065033	0	6.94
9	4	2045	19.87269897	35.42189941	0	6.93
10	4	2045	20.17420044	35.48389893	0	6.93
11	4	2045	19.56870117	33.86500244	0	6.61
12	4	2045	19.0855072	34.44110107	0	6.8
13	4	2045	19.90679932	35.40489807	0	6.99
14	4	2045	19.94199829	35.40150147	0	6.99
15	4	2045	20.10220032	34.7026947	0	6.8
16	4	2045	20.13290405	34.49330444	0	6.78
17	4	2045	19.78259888	34.81519775	0	6.95
18	4	2045	19.96329651	35.25740051	0	7.04
19	4	2045	20.10410156	35.70209656	0	7.18
20	4	2045	20.88109436	36.36890259	0	7.25
21	4	2045	21.17790222	35.58649597	0	7.02
22	4	2045	21.21219788	36.46040344	0	7.27
23	4	2045	21.5427948	36.97330017	0	7.38
24	4	2045	21.67050476	37.07319946	0	7.4
25	4	2045	22.29899902	36.47399902	0	7.17
26	4	2045	21.23910828	35.80570374	0	7.14
27	4	2045	20.7597992	36.03079834	0	7.29
28	4	2045	21.2611969	36.50169983	0	7.36
29	4	2045	22.0730011	37.90960388	0	7.68
30	4	2045	22.23189697	37.85010376	0	7.65
1	5	2045	22.634198	38.75509949	0	7.88
