%% ----------- Irrigation schedule time-series for AquaCropOS ---------- %%										
Day	Month	Year	Irrigation(mm)							
6	9	2021	31.54140947							
7	9	2021	2.779063786							
16	9	2021	3.182098765							
29	9	2021	6.277006173							
6	10	2021	9.821373457							
11	10	2021	4.108024691							
14	10	2021	6.938657407							
18	10	2021	3.619984568							
20	10	2021	14.40123457							
25	10	2021	7.921296296							
27	10	2021	7.295524691							
1	11	2021	9.044753086							
6	11	2021	5.80941358							
8	11	2021	7.550925926							
14	11	2021	7.572222222							
24	11	2021	6.773148148							
29	11	2021	3.00617284							
1	12	2021	12.98148148							
6	12	2021	10.52854938							
14	12	2021	18.61188272							
