Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
30	6	2011	21	30	0	4.8
1	7	2011	21	31	0	5.1
2	7	2011	21	33	0	5.7
3	7	2011	22	35	0	6.1
4	7	2011	23	33	0	5.3
5	7	2011	22	33	0	5.5
6	7	2011	22	33	0	5.5
7	7	2011	22	35	0	6.1
8	7	2011	23	37	0	6.5
9	7	2011	24	36	0	6.1
10	7	2011	23	36	0	6.2
11	7	2011	24	36	0	6
12	7	2011	25	36	0	5.8
13	7	2011	24	37	0	6.3
14	7	2011	26	36	0	5.6
15	7	2011	24	36	0	6
16	7	2011	23	35	0	5.9
17	7	2011	24	35	0	5.7
18	7	2011	24	36	0	6
19	7	2011	24	38	0	6.6
20	7	2011	25	36	0	5.8
21	7	2011	25	38	0	6.4
22	7	2011	25	34	0	5.1
23	7	2011	24	34	0	5.3
24	7	2011	23	35	0	5.8
25	7	2011	26	38	0	6.2
26	7	2011	23	36	0	6.1
27	7	2011	24	36	0	5.9
28	7	2011	24	36	0	5.9
29	7	2011	24	35	0	5.6
30	7	2011	24	36	0	5.9
31	7	2011	24	35	0	5.6
1	8	2011	23	34	0	5.5
2	8	2011	24	36	0	5.9
3	8	2011	25	36	0	5.7
4	8	2011	25	34	0	5
5	8	2011	24	34	0	5.2
6	8	2011	24	35	0	5.5
7	8	2011	24	33	0	4.9
8	8	2011	24	34	0	5.2
9	8	2011	24	35	0	5.5
10	8	2011	24	36	0	5.8
11	8	2011	24	36	0	5.8
12	8	2011	24	34	0	5.1
13	8	2011	24	32	0	4.5
14	8	2011	24	33	0	4.8
15	8	2011	24	32	0	4.5
16	8	2011	23	33	0	5
17	8	2011	23	33	0	5
18	8	2011	23	33	0	5
19	8	2011	24	33	0	4.7
20	8	2011	24	35	0	5.3
21	8	2011	25	36	0	5.4
22	8	2011	25	38	0	6
23	8	2011	25	36	0	5.4
24	8	2011	24	33	0	4.7
25	8	2011	24	34	0	5
26	8	2011	23	35	0	5.4
27	8	2011	24	35	0	5.2
28	8	2011	24	33	0	4.6
29	8	2011	23	33	0	4.8
30	8	2011	23	33	0	4.8
31	8	2011	23	32	0	4.5
1	9	2011	23	32	0	4.5
2	9	2011	24	33	0	4.5
3	9	2011	24	35	0	5.1
4	9	2011	25	34	0	4.6
5	9	2011	24	35	0	5.1
6	9	2011	24	35	0	5.1
7	9	2011	23	34	0	4.9
8	9	2011	23	34	0	4.9
9	9	2011	25	34	0	4.5
10	9	2011	24	32	0	4.1
11	9	2011	23	33	0	4.6
12	9	2011	24	34	0	4.7
13	9	2011	23	34	0	4.8
14	9	2011	23	32	0	4.2
15	9	2011	23	32	0	4.2
16	9	2011	23	33	0	4.5
17	9	2011	23	34	0	4.7
18	9	2011	22	33	0	4.6
19	9	2011	23	33	0	4.4
20	9	2011	23	33	0	4.4
21	9	2011	22	33	0	4.5
22	9	2011	24	34	0	4.5
23	9	2011	24	31	0	3.6
24	9	2011	23	31	0	3.8
25	9	2011	24	31	0	3.6
26	9	2011	22	31	0	3.9
27	9	2011	22	31	0	3.9
28	9	2011	21	32	0	4.3
29	9	2011	22	32	0	4.1
30	9	2011	22	32	0	4.1
1	10	2011	22	31	0	3.8
2	10	2011	21	30	0	3.7
3	10	2011	21	30	0	3.7
4	10	2011	21	30	0	3.7
5	10	2011	21	30	0	3.7
6	10	2011	20	30	0	3.8
7	10	2011	20	31	0	4
8	10	2011	22	34	0	4.4
9	10	2011	23	36	0	4.7
10	10	2011	25	38	0	4.9
11	10	2011	23	29	0	3
12	10	2011	19	28	0	3.4
13	10	2011	18	28	0	3.5
14	10	2011	18	28	0	3.5
15	10	2011	19	28	0	3.3
16	10	2011	19	28	0	3.3
17	10	2011	20	29	0	3.4
18	10	2011	21	33	0	4.1
19	10	2011	19	26	0	2.8
20	10	2011	17	25	0	2.8
21	10	2011	16	27	0	3.3
22	10	2011	18	26	0	2.9
23	10	2011	17	26	0	3
24	10	2011	17	26	0	3
25	10	2011	18	26	0	2.8
26	10	2011	17	27	0	3.1
27	10	2011	18	26	0	2.8
28	10	2011	19	27	0	2.9
29	10	2011	17	25	0	2.7
30	10	2011	16	24	0	2.6
31	10	2011	17	24	0	2.5
1	11	2011	15	25	0	2.9
2	11	2011	15	25	0	2.9
3	11	2011	16	25	0	2.8
4	11	2011	17	24	0	2.4
5	11	2011	13	23	0	2.7
6	11	2011	14	23	0	2.6
7	11	2011	14	25	0	2.9
8	11	2011	14	24	0	2.7
9	11	2011	14	24	0	2.7
10	11	2011	14	25	0	2.9
11	11	2011	13	27	0	3.3
12	11	2011	15	25	0	2.7
13	11	2011	16	24	0	2.4
14	11	2011	16	21	0	1.9
15	11	2011	12	20	0	2.2
16	11	2011	12	21	0	2.3
17	11	2011	14	21	0	2.1
18	11	2011	12	19	0	2
19	11	2011	13	19	0	1.9
20	11	2011	14	20	0	1.9
21	11	2011	13	20	0	2
22	11	2011	11	21	0	2.3
23	11	2011	12	21	0	2.2
24	11	2011	12	21	0	2.2
25	11	2011	15	20	0	1.8
26	11	2011	12	20	0	2.1
27	11	2011	13	19	0	1.8
28	11	2011	13	20	1.27	2
29	11	2011	12	20	0.01	2
30	11	2011	12	19	0.01	1.9
1	12	2011	12	21	0.01	2.2
2	12	2011	11	21	0	2.3
3	12	2011	11	21	0	2.2
4	12	2011	9	22	0	2.5
5	12	2011	11	21	0	2.2
6	12	2011	11	20	0	2.1
7	12	2011	10	20	0	2.2
8	12	2011	12	21	0	2.1
9	12	2011	12	20	0	2
10	12	2011	9	18	0	2
11	12	2011	8	19	0	2.2
12	12	2011	9	20	0	2.2
13	12	2011	10	19	0.08	2
14	12	2011	12	19	1.11	1.8
15	12	2011	12	20	2.65	2
16	12	2011	10	19	0	2
17	12	2011	10	21	0.06	2.3
18	12	2011	10	22	0.12	2.4
19	12	2011	10	22	0.54	2.4
20	12	2011	12	19	0.27	1.8
21	12	2011	11	19	0.23	1.9
22	12	2011	11	20	0.08	2.1
23	12	2011	11	19	0	1.9
24	12	2011	11	18	0.01	1.8
25	12	2011	10	18	0.28	1.9
26	12	2011	11	18	0.19	1.8
27	12	2011	9	18	0.92	1.9
28	12	2011	9	18	2.47	1.9
29	12	2011	9	18	0.87	1.9
30	12	2011	11	17	0.13	1.7
31	12	2011	10	19	0.29	2
1	1	2012	10	18	0.29	1.9
2	1	2012	10	17	0	1.8
3	1	2012	10	18	0	1.9
4	1	2012	10	17	0	1.8
5	1	2012	9	17	0	1.8
6	1	2012	8	17	0	1.9
7	1	2012	9	18	0	2
8	1	2012	9	17	0.01	1.9
9	1	2012	9	17	0	1.9
10	1	2012	8	17	0	1.9
11	1	2012	9	16	0	1.7
12	1	2012	7	15	0	1.8
13	1	2012	7	15	0	1.8
14	1	2012	8	17	0	2
15	1	2012	8	17	0	2
16	1	2012	8	17	0	2
17	1	2012	8	17	0	2
18	1	2012	9	17	0	1.9
19	1	2012	10	15	0	1.6
